Time frequency,Standard international energy product classification (SIEC),Geopolitical entity (partner),Unit of measure,Geopolitical entity (reporting),Time,value
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2010,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2011,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2012,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2013,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2014,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2015,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2016,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2017,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2018,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2019,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2020,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2021,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2022,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2023,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Cyprus,2024,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2000,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2001,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2002,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2003,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2004,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2005,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2006,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2007,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2008,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2009,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2010,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2011,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2012,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2013,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2014,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2015,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2016,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2017,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2018,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2019,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2020,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2021,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2022,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2023,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Latvia,2024,0.0
