Time frequency,Unit of measure,Stock or flow,Products and final uses,"Products, adjustments and value added",Geopolitical entity (reporting),Time,value,country
Annual,Million euro,Total,Coke and refined petroleum products,Mining and quarrying,Spain,2020,16074.5,ES
Annual,Million euro,Total,Furniture and other manufactured goods,Output,Spain,2022,16070.6,ES
Annual,Million euro,Total,Total use,Human health services,Portugal,2020,16065.9,PT
Annual,Million euro,Total,Total use,Paper and paper products,Sweden,2023,16065.36,SE
Annual,Million euro,Total,"Food, beverages and tobacco products",Total intermediate consumption /final use,Sweden,2022,16064.01,SE
Annual,Million euro,Total,Human health services,Total supply at basic prices,Portugal,2020,16062.62,PT
Annual,Million euro,Total,Other personal services,Total intermediate consumption /final use,Germany,2020,16062.0,DE
Annual,Million euro,Total,Exports of goods and services to EU countries,"Food, beverages and tobacco products",Poland,2020,16059.69,PL
Annual,Million euro,Total,Total final use,"Creative, arts and entertainment services",France,2022,16058.92,FR
Annual,Million euro,Total,Final consumption expediture,Sporting services and amusement and recreation services,Germany,2020,16056.0,DE
Annual,Million euro,Total,Architectural and engineering services; technical testing and analysis services,"Value added, gross",Spain,2022,16044.5,ES
Annual,Million euro,Total,Sporting services and amusement and recreation services,Total supply at basic prices,Italy,2021,16040.76,IT
Annual,Million euro,Total,Total use,Sporting services and amusement and recreation services,Italy,2021,16040.76,IT
Annual,Million euro,Total,Final consumption expediture,Warehousing and support services for transportation,Germany,2021,16038.0,DE
Annual,Million euro,Total,Telecommunications services,Total supply at basic prices,Sweden,2023,16037.22,SE
Annual,Million euro,Total,Paper and paper products,Total supply at basic prices,Sweden,2023,16035.13,SE
Annual,Million euro,Total,Human health services,Output,Portugal,2020,16030.85,PT
Annual,Million euro,Total,"Computer programming, consultancy and related services; Information services",Imports of goods and services,Sweden,2023,16027.02,SE
Annual,Million euro,Total,Exports of goods and services,Water transport services,France,2020,16020.26,FR
Annual,Million euro,Total,Final consumption expediture,Accommodation and food services,Austria,2021,16019.54,AT
Annual,Million euro,Total,"Computer, electronic and optical products",Imports of goods and services,Hungary,2022,16018.74,HU
Annual,Million euro,Total,Total final use,Leather and related products,France,2022,16017.56,FR
Annual,Million euro,Total,Sporting services and amusement and recreation services,Output,Italy,2021,16015.08,IT
Annual,Million euro,Total,Final consumption expenditure by households,Accommodation and food services,Austria,2021,16013.18,AT
Annual,Million euro,Total,Accommodation and food services,Wages and salaries,Spain,2020,15997.7,ES
Annual,Million euro,Total,Total use,Chemicals and chemical products,Czechia,2020,15995.54,CZ
Annual,Million euro,Total,Chemicals and chemical products,Total supply at basic prices,Czechia,2020,15995.54,CZ
Annual,Million euro,Total,Final consumption expenditure by households,Real estate services excluding imputed rents,Poland,2020,15994.51,PL
Annual,Million euro,Total,Exports of goods and services to EU countries,Other transport equipment,Germany,2021,15992.0,DE
Annual,Million euro,Total,Basic pharmaceutical products and pharmaceutical preparations,Imports of goods and services from EU countries,Italy,2022,15991.78,IT
Annual,Million euro,Total,"Products of agriculture, hunting and related services","Operating surplus and mixed income, net",Italy,2021,15989.7,IT
Annual,Million euro,Total,Basic pharmaceutical products and pharmaceutical preparations,Total intermediate consumption /final use,Belgium,2020,15989.54,BE
Annual,Million euro,Total,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services","Operating surplus and mixed income, gross",Germany,2021,15987.0,DE
Annual,Million euro,Total,Final consumption expenditure by households,Residential care services,France,2021,15983.8,FR
Annual,Million euro,Total,Total final use,Public administration and defence services; compulsory social security services,Czechia,2020,15981.36,CZ
Annual,Million euro,Total,Exports of goods and services to non-EU countries,Publishing services,Germany,2022,15980.0,DE
Annual,Million euro,Total,Total final use,Machinery and equipment n.e.c.,Hungary,2023,15979.85,HU
Annual,Million euro,Total,Final consumption expenditure by non-profit organisations serving households (NPISH),Total intermediate consumption /final use,Spain,2022,15979.0,ES
Annual,Million euro,Total,Food products,Output,Hungary,2022,15978.94,HU
Annual,Million euro,Total,Wholesale and retail trade and repair services of motor vehicles and motorcycles,"Value added, gross",Spain,2021,15976.3,ES
Annual,Million euro,Total,Wholesale and retail trade and repair services of motor vehicles and motorcycles,"Value added, gross",Italy,2021,15976.19,IT
Annual,Million euro,Total,Mining and quarrying,Imports of goods and services from non-EU countries,Austria,2022,15972.46,AT
Annual,Million euro,Total,Total final use,Coke and refined petroleum products,Sweden,2022,15972.0,SE
Annual,Million euro,Total,Total final use,Mining and quarrying,Germany,2021,15970.0,DE
Annual,Million euro,Total,Exports of goods and services to non-EU countries,Other transport equipment,Germany,2021,15967.0,DE
Annual,Million euro,Total,Total use,Accommodation and food services,Sweden,2021,15966.2,SE
Annual,Million euro,Total,Final consumption expediture,Furniture and other manufactured goods,France,2020,15965.4,FR
Annual,Million euro,Total,Gross capital formation,Buildings and building construction works,Belgium,2020,15948.4,BE
Annual,Million euro,Total,Gross fixed capital formation,Buildings and building construction works,Belgium,2020,15948.4,BE
Annual,Million euro,Total,Postal and courier services,Wages and salaries,Germany,2020,15942.0,DE
Annual,Million euro,Total,Advertising and market research services,"Value added, gross",Germany,2021,15936.0,DE
Annual,Million euro,Total,Changes in inventories and acquisition less disposals of valuables,"Food, beverages and tobacco products",Germany,2020,15934.0,DE
Annual,Million euro,Total,Gross capital formation,"Food, beverages and tobacco products",Germany,2020,15934.0,DE
Annual,Million euro,Total,Basic pharmaceutical products and pharmaceutical preparations,Total intermediate consumption /final use,Italy,2022,15931.53,IT
Annual,Million euro,Total,Total final use,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",France,2021,15930.94,FR
Annual,Million euro,Total,Exports of goods and services to EU countries,"Fabricated metal products, except machinery and equipment",Italy,2022,15929.13,IT
Annual,Million euro,Total,Gross fixed capital formation,"Computer, electronic and optical products",Italy,2022,15926.94,IT
Annual,Million euro,Total,Accommodation and food services,Total supply at basic prices,Sweden,2021,15926.77,SE
Annual,Million euro,Total,Changes in inventories and acquisition less disposals of valuables,Machinery and equipment n.e.c.,Germany,2021,15919.0,DE
Annual,Million euro,Total,Chemicals and chemical products,Imports of goods and services,Czechia,2022,15917.57,CZ
Annual,Million euro,Total,Exports of goods and services,Other non-metallic mineral products,Germany,2022,15916.0,DE
Annual,Million euro,Total,Exports of goods and services to euro area countries,"Motor vehicles, trailers and semi-trailers",Italy,2021,15914.11,IT
Annual,Million euro,Total,Exports of goods and services to non-EU countries,Furniture and other manufactured goods,Germany,2020,15914.0,DE
Annual,Million euro,Total,Accommodation and food services,Output,Sweden,2021,15912.19,SE
Annual,Million euro,Total,Accommodation and food services,"Food, beverages and tobacco products",Spain,2021,15912.1,ES
Annual,Million euro,Total,Imputed rents of owner-occupied dwellings,Output,Portugal,2020,15909.25,PT
Annual,Million euro,Total,Imputed rents of owner-occupied dwellings,Total supply at basic prices,Portugal,2020,15909.25,PT
Annual,Million euro,Total,Final consumption expediture,Imputed rents of owner-occupied dwellings,Portugal,2020,15909.25,PT
Annual,Million euro,Total,Total use,Imputed rents of owner-occupied dwellings,Portugal,2020,15909.25,PT
Annual,Million euro,Total,Total final use,Imputed rents of owner-occupied dwellings,Portugal,2020,15909.25,PT
Annual,Million euro,Total,Final consumption expenditure by households,Imputed rents of owner-occupied dwellings,Portugal,2020,15909.25,PT
Annual,Million euro,Total,Final consumption expediture,Public administration and defence services; compulsory social security services,Czechia,2020,15906.18,CZ
